time,status,attention,faces,yawns
2025-12-21T18:41:07.229557,Drowsy 😴,52,1,0
2025-12-21T18:41:07.251675,Drowsy 😴,52,1,0
2025-12-21T18:41:07.288927,Drowsy 😴,52,1,0
2025-12-21T18:41:07.340076,Drowsy 😴,52,1,0
2025-12-21T18:41:07.386937,Drowsy 😴,52,1,0
2025-12-21T18:41:07.405971,Drowsy 😴,52,1,0
2025-12-21T18:41:07.441148,Drowsy 😴,52,1,0
2025-12-21T18:41:07.460737,Drowsy 😴,52,1,0
2025-12-21T18:41:07.482711,Drowsy 😴,52,1,0
2025-12-21T18:41:07.512153,Drowsy 😴,52,1,0
2025-12-21T18:41:07.562601,Drowsy 😴,52,1,0
2025-12-21T18:41:07.583902,Drowsy 😴,52,1,0
2025-12-21T18:41:07.626613,Drowsy 😴,52,1,0
2025-12-21T18:41:07.660771,Drowsy 😴,51,1,0
2025-12-21T18:41:07.696088,Not Present ❌,51,0,0
2025-12-21T18:41:07.714385,Not Present ❌,51,0,0
2025-12-21T18:41:07.761414,Not Present ❌,51,0,0
2025-12-21T18:41:07.772029,Not Present ❌,51,0,0
2025-12-21T18:41:07.796618,Not Present ❌,51,0,0
2025-12-21T18:41:07.830678,Not Present ❌,51,0,0
2025-12-21T18:41:07.850111,Not Present ❌,51,0,0
2025-12-21T18:41:07.903826,Not Present ❌,51,0,0
2025-12-21T18:41:07.916022,Not Present ❌,51,0,0
2025-12-21T18:41:07.959474,Not Present ❌,51,0,0
2025-12-21T18:41:08.036253,Not Present ❌,51,0,0
2025-12-21T18:41:08.050631,Not Present ❌,51,0,0
2025-12-21T18:41:08.086019,Not Present ❌,51,0,0
2025-12-21T18:41:08.104474,Not Present ❌,51,0,0
2025-12-21T18:41:08.151581,Not Present ❌,51,0,0
2025-12-21T18:41:08.168661,Not Present ❌,51,0,0
2025-12-21T18:41:08.187677,Not Present ❌,51,0,0
2025-12-21T18:41:08.234419,Not Present ❌,51,0,0
2025-12-21T18:41:08.253221,Not Present ❌,51,0,0
2025-12-21T18:41:08.296415,Not Present ❌,51,0,0
2025-12-21T18:41:08.315664,Not Present ❌,51,0,0
2025-12-21T18:41:08.360848,Not Present ❌,51,0,0
2025-12-21T18:41:08.430185,Not Present ❌,51,0,0
2025-12-21T18:41:08.443010,Not Present ❌,51,0,0
2025-12-21T18:41:08.493447,Not Present ❌,51,0,0
2025-12-21T18:41:08.517136,Not Present ❌,51,0,0
2025-12-21T18:41:08.569036,Not Present ❌,51,0,0
2025-12-21T18:41:08.588235,Not Present ❌,51,0,0
2025-12-21T18:41:08.607496,Not Present ❌,51,0,0
2025-12-21T18:41:08.632816,Not Present ❌,51,0,0
